지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),적설(cm)
108,서울,2019-01-01 06:00,-7.9,,1.3,60,
108,서울,2019-01-01 07:00,-7.7,,1.3,58,
108,서울,2019-01-01 08:00,-7.7,,.9,57,
108,서울,2019-01-01 09:00,-7,,.9,50,
108,서울,2019-01-01 10:00,-4.9,,1.6,44,
108,서울,2019-01-01 11:00,-3.7,,2.5,41,
108,서울,2019-01-01 12:00,-2.8,,2.8,47,
108,서울,2019-01-01 13:00,-1.5,,2.7,49,
108,서울,2019-01-01 14:00,-1.7,,3.5,51,
108,서울,2019-01-01 15:00,-1.5,,3,46,
108,서울,2019-01-01 16:00,-.9,,3.2,45,
108,서울,2019-01-01 17:00,-1.8,,2.2,48,
108,서울,2019-01-01 18:00,-2.7,,2.6,45,
108,서울,2019-01-01 19:00,-3.2,,3.2,45,
108,서울,2019-01-01 20:00,-3.9,,3.5,42,
108,서울,2019-01-01 21:00,-4.6,,2.6,36,
108,서울,2019-01-01 22:00,-5.4,,3.1,43,
108,서울,2019-01-01 23:00,-6,,1.1,48,
108,서울,2019-01-02 00:00,-6.7,,1.3,50,
108,서울,2019-01-02 01:00,-7.2,,.8,52,
108,서울,2019-01-02 02:00,-7.8,,1.3,54,
108,서울,2019-01-02 03:00,-8,,.9,55,
108,서울,2019-01-02 04:00,-8.4,,1.3,59,
108,서울,2019-01-02 05:00,-8.5,,.8,57,
108,서울,2019-01-02 06:00,-8.5,,.6,57,
108,서울,2019-01-02 07:00,-8.5,,.7,61,
108,서울,2019-01-02 08:00,-8.7,,.8,63,
108,서울,2019-01-02 09:00,-7.5,,1.4,51,
108,서울,2019-01-02 10:00,-5.6,,1.5,40,
108,서울,2019-01-02 11:00,-4.1,,2.2,33,
108,서울,2019-01-02 12:00,-2.8,,3.2,29,
108,서울,2019-01-02 13:00,-1.8,,3,26,
108,서울,2019-01-02 14:00,-.2,,2.5,22,
108,서울,2019-01-02 15:00,0,,2.6,23,
108,서울,2019-01-02 16:00,0,,2,22,
108,서울,2019-01-02 17:00,-1,,1.8,32,
108,서울,2019-01-02 18:00,-2.6,,2.2,37,
108,서울,2019-01-02 19:00,-3.3,,2,39,
108,서울,2019-01-02 20:00,-3.9,,1.1,43,
108,서울,2019-01-02 21:00,-4.4,,1.7,44,
108,서울,2019-01-02 22:00,-4.3,,2,47,
108,서울,2019-01-02 23:00,-4.6,,1.6,47,
108,서울,2019-01-03 00:00,-5.4,,2.4,46,
108,서울,2019-01-03 01:00,-6.1,,.8,48,
108,서울,2019-01-03 02:00,-7,,.8,53,
108,서울,2019-01-03 03:00,-7.5,,.7,51,
108,서울,2019-01-03 04:00,-7.7,,2.4,53,
108,서울,2019-01-03 05:00,-8,,1.1,57,
108,서울,2019-01-03 06:00,-8.1,,1.7,54,
108,서울,2019-01-03 07:00,-8.3,,.7,58,
108,서울,2019-01-03 08:00,-8.4,,.9,56,
108,서울,2019-01-03 09:00,-7.7,,.5,43,
108,서울,2019-01-03 10:00,-4.8,,1,33,
108,서울,2019-01-03 11:00,-2.4,,1.3,30,
108,서울,2019-01-03 12:00,-.4,,1.9,26,
108,서울,2019-01-03 13:00,1.1,,1.4,22,
108,서울,2019-01-03 14:00,2.4,,1.9,20,
108,서울,2019-01-03 15:00,2.9,,2.3,20,
108,서울,2019-01-03 16:00,3.2,,1.7,19,
108,서울,2019-01-03 17:00,1.5,,1.2,20,
108,서울,2019-01-03 18:00,-.4,,1.6,22,
108,서울,2019-01-03 19:00,-.9,,2,24,
108,서울,2019-01-03 20:00,-1.7,,1.5,45,
108,서울,2019-01-03 21:00,-2.7,,.7,47,
108,서울,2019-01-03 22:00,-3.3,,.7,42,
108,서울,2019-01-03 23:00,-3.9,,1.3,41,
108,서울,2019-01-04 00:00,-3.9,,.8,47,
108,서울,2019-01-04 01:00,-4.1,,.4,46,
108,서울,2019-01-04 02:00,-4.5,,.6,44,
108,서울,2019-01-04 03:00,-4.9,,1.1,47,
108,서울,2019-01-04 04:00,-5.2,,.6,50,
108,서울,2019-01-04 05:00,-5.5,,.7,47,
108,서울,2019-01-04 06:00,-5.8,,.8,50,
108,서울,2019-01-04 07:00,-6,,1.2,55,
108,서울,2019-01-04 08:00,-6.1,,1.1,54,
108,서울,2019-01-04 09:00,-5.4,,1.3,49,
108,서울,2019-01-04 10:00,-3.5,,.7,40,
108,서울,2019-01-04 11:00,-1.5,,1,37,
108,서울,2019-01-04 12:00,-.4,,.7,34,
108,서울,2019-01-04 13:00,1.1,,1.5,40,
108,서울,2019-01-04 14:00,3.1,,2.5,36,
108,서울,2019-01-04 15:00,3.9,,2.7,40,
108,서울,2019-01-04 16:00,3,,1.6,49,
108,서울,2019-01-04 17:00,2.7,,1.3,61,
108,서울,2019-01-04 18:00,2.3,,1.5,69,
108,서울,2019-01-04 19:00,1.5,,1,74,
108,서울,2019-01-04 20:00,1.4,,1.2,75,
108,서울,2019-01-04 21:00,1.4,,1.8,75,
108,서울,2019-01-04 22:00,.7,,1.1,79,
108,서울,2019-01-04 23:00,.1,,1,81,
108,서울,2019-01-05 00:00,-.2,,1.7,80,
108,서울,2019-01-05 01:00,-.4,,2.2,81,
108,서울,2019-01-05 02:00,-1.5,,3,75,
108,서울,2019-01-05 03:00,-2.2,,2.1,75,
108,서울,2019-01-05 04:00,-2.9,,1.4,65,
108,서울,2019-01-05 05:00,-3.8,,1.2,61,
108,서울,2019-01-05 06:00,-4.5,,.6,58,
108,서울,2019-01-05 07:00,-4.6,,1.6,50,
108,서울,2019-01-05 08:00,-4.5,,3.3,46,
108,서울,2019-01-05 09:00,-4.7,,2.9,47,
108,서울,2019-01-05 10:00,-4,,3.5,45,
108,서울,2019-01-05 11:00,-2.8,,3.7,38,
108,서울,2019-01-05 12:00,-2,,3.6,34,
108,서울,2019-01-05 13:00,-.7,,2.8,30,
108,서울,2019-01-05 14:00,-.5,,2.4,25,
108,서울,2019-01-05 15:00,.6,,3.5,20,
108,서울,2019-01-05 16:00,.4,,2.7,21,
108,서울,2019-01-05 17:00,-.3,,1.9,21,
108,서울,2019-01-05 18:00,-1.5,,1.6,23,
108,서울,2019-01-05 19:00,-2.1,,1.5,26,
108,서울,2019-01-05 20:00,-2.6,,1.7,28,
108,서울,2019-01-05 21:00,-2.9,,1.8,28,
108,서울,2019-01-05 22:00,-3.9,,1.7,31,
108,서울,2019-01-05 23:00,-4.8,,1.5,35,
108,서울,2019-01-06 00:00,-5.5,,1.4,37,
108,서울,2019-01-06 01:00,-6,,1.8,37,
108,서울,2019-01-06 02:00,-6.3,,.9,38,
108,서울,2019-01-06 03:00,-5.9,,.1,37,
108,서울,2019-01-06 04:00,-5.7,,.8,35,
108,서울,2019-01-06 05:00,-5.6,,.3,36,
108,서울,2019-01-06 06:00,-5.4,,.5,35,
108,서울,2019-01-06 07:00,-5.3,,1.2,38,
108,서울,2019-01-06 08:00,-5.7,,.7,39,
108,서울,2019-01-06 09:00,-5.2,,.9,38,
108,서울,2019-01-06 10:00,-4.2,,.3,35,
108,서울,2019-01-06 11:00,-1.3,,1.7,31,
108,서울,2019-01-06 12:00,.2,,2.2,28,
108,서울,2019-01-06 13:00,1.6,,1.3,21,
108,서울,2019-01-06 14:00,1.8,,2.1,22,
108,서울,2019-01-06 15:00,2.1,,2.8,21,
108,서울,2019-01-06 16:00,2.5,,1.8,22,
108,서울,2019-01-06 17:00,.8,,1.8,28,
108,서울,2019-01-06 18:00,-.9,,1.6,28,
108,서울,2019-01-06 19:00,-1.7,,2.4,35,
108,서울,2019-01-06 20:00,-2.3,,.7,48,
108,서울,2019-01-06 21:00,-3.1,,1.3,48,
108,서울,2019-01-06 22:00,-3.7,,.2,49,
108,서울,2019-01-06 23:00,-3.8,,.4,48,
108,서울,2019-01-07 00:00,-4.1,,.5,45,
108,서울,2019-01-07 01:00,-4.3,,1.2,51,
108,서울,2019-01-07 02:00,-4.5,,.9,55,
108,서울,2019-01-07 03:00,-4.9,,.6,56,
108,서울,2019-01-07 04:00,-5.2,,1.3,57,
108,서울,2019-01-07 05:00,-5.5,,.2,59,
108,서울,2019-01-07 06:00,-5.9,,.7,57,
108,서울,2019-01-07 07:00,-6.2,,.6,56,
108,서울,2019-01-07 08:00,-6,,.5,52,
108,서울,2019-01-07 09:00,-5.4,,.9,51,
108,서울,2019-01-07 10:00,-2.3,,1.6,46,
108,서울,2019-01-07 11:00,-.5,,2,40,
108,서울,2019-01-07 12:00,.6,,2.8,33,
108,서울,2019-01-07 13:00,1.4,,2.4,31,
108,서울,2019-01-07 14:00,1.7,,3.6,34,
108,서울,2019-01-07 15:00,2.6,,3,34,
108,서울,2019-01-07 16:00,2.7,,1.9,31,
108,서울,2019-01-07 17:00,1.7,,1.8,29,
108,서울,2019-01-07 18:00,.6,,1.1,34,
108,서울,2019-01-07 19:00,.2,,1.6,41,
108,서울,2019-01-07 20:00,-.3,,2,55,
108,서울,2019-01-07 21:00,-.6,,.9,63,
108,서울,2019-01-07 22:00,-1.4,,.8,64,
108,서울,2019-01-07 23:00,-1.9,,.8,52,
108,서울,2019-01-08 00:00,-2.2,,1.8,43,
108,서울,2019-01-08 01:00,-2.5,,1,46,
108,서울,2019-01-08 02:00,-2.6,,1.8,39,
108,서울,2019-01-08 03:00,-3.1,,1.6,34,
108,서울,2019-01-08 04:00,-4.2,,.8,36,
108,서울,2019-01-08 05:00,-4.9,,.5,38,
108,서울,2019-01-08 06:00,-5.3,,.6,38,
108,서울,2019-01-08 07:00,-5.4,,.8,40,
108,서울,2019-01-08 08:00,-5.6,,.6,42,
108,서울,2019-01-08 09:00,-4.6,,2.3,40,
108,서울,2019-01-08 10:00,-2.9,,2,36,
108,서울,2019-01-08 11:00,-2.1,,3.3,32,
108,서울,2019-01-08 12:00,-.9,,2.7,27,
108,서울,2019-01-08 13:00,-.2,,3.2,26,
108,서울,2019-01-08 14:00,-.4,,4.9,23,
108,서울,2019-01-08 15:00,.3,,3.4,20,
108,서울,2019-01-08 16:00,.2,,5.2,23,
108,서울,2019-01-08 17:00,-.8,,5,21,
108,서울,2019-01-08 18:00,-2,,3,21,
108,서울,2019-01-08 19:00,-3.2,,5.1,21,
108,서울,2019-01-08 20:00,-5,,6.5,32,
108,서울,2019-01-08 21:00,-5.7,,2.1,34,
108,서울,2019-01-08 22:00,-6.6,,.6,35,
108,서울,2019-01-08 23:00,-7.1,,1.8,34,
108,서울,2019-01-09 00:00,-7,,2,34,
